
현재 판매가격(충전소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,LPG

A0009153,서울 동대문구,수도에너지(주)동서울충전소,서울 동대문구 망우로 57 (휘경동),S-OIL,일반,841
A0009165,서울 동대문구,서울개인택시조합복지장안충전소,서울특별시 동대문구  한천로 169 (답십리동),SK가스,일반,840
A0009243,서울 동대문구,장안동가스충전소,서울 동대문구 천호대로 353 (장안동),E1,일반,840
A0009251,서울 동대문구,(주)홍릉가스,서울 동대문구 회기로 44 (청량리동),SK에너지,일반,841
A0009329,서울 성동구,SK덕마충전소,서울특별시 성동구 왕십리로 124,SK에너지,일반,842
A0009371,서울 성동구,대성산업(주)동부충전소,서울 성동구 광나루로 200 (성수동2가),GS칼텍스,일반,842
A0009252,서울 성북구,우일에너지(주)성북충전소,서울 성북구 종암로 201 (하월곡동),GS칼텍스,일반,843
A0009491,서울 성북구,(주)장위가스,서울 성북구 화랑로 291 (장위동),SK에너지,일반,841
A0001874,서울 도봉구,동원가스충전소,서울 도봉구 도봉로 430 (창동),GS칼텍스,일반,841
A0009683,서울 도봉구,케이와이에너지(주)한영충전소, 서울 도봉구 도봉로 627(쌍문동),GS칼텍스,일반,842
A0012841,서울 도봉구,(주)평안에너지 도봉충전소,서울특별시 도봉구  도봉로 983 (도봉동),E1,일반,840
A0000743,서울 서대문구,연일가스산업(주),서울 서대문구 수색로 123 (북가좌동),S-OIL,일반,850
A0000628,서울 은평구,은평서부충전소,서울특별시 은평구 통일로 1186,SK에너지,일반,846
A0000678,서울 은평구,(주)삼표에너지 수색충전소,서울 은평구 수색로 181  (증산동),GS칼텍스,일반,850
A0000742,서울 은평구,신흥에너지산업(주),서울 은평구 수색로 199 (증산동),SK에너지,일반,850
A0000291,서울 영등포구,양평동충전소,서울특별시 영등포구  선유로 157 (양평동3가),SK에너지,일반,842
A0000302,서울 영등포구,(주)세지충전소,서울 영등포구 선유로9길 4 (문래동6가),E1,일반,842
A0009489,서울 영등포구,기린에너지,서울 영등포구 선유로52길 5 (양평동4가),SK에너지,일반,842
A0001049,서울 동작구,동주충전소,서울특별시 동작구 상도로 74 (대방동),SK에너지,일반,845
A0001201,서울 강남구,남서울가스(주),서울 강남구 남부순환로3154,GS칼텍스,일반,844
A0001227,서울 강남구,대치에너지,서울특별시 강남구 남부순환로 3179 (대치동),GS칼텍스,일반,843
A0001229,서울 강남구,(주)수서에너지,서울특별시 강남구 밤고개로 127 (자곡동),SK가스,일반,842
A0006019,서울 강남구,강남복지충전소,서울 강남구 밤고개로 200,E1,일반,840
A0009727,서울 강남구,(주)상현상사, 서울특별시 강남구 학동로 204,SK에너지,일반,843
A0009839,서울 강남구,(주)진양가스,서울 강남구 도곡로 142  (도곡동),SK에너지,일반,845
A0009777,서울 강동구,둔촌충전소,서울 강동구 동남로 563 (둔촌동),SK에너지,일반,842
