
현재 판매가격(주유소)

기준일자 : 20170202,,,,,,(단위 : 원/리터)
고유번호,지역,상호,주소,상표,셀프여부,고급휘발유,휘발유,경유,실내등유

A0000035,서울 종로구,명경주유소,서울특별시 종로구 평창문화로 135 (평창동),현대오일뱅크,일반,0,1539,1339,0
A0000045,서울 종로구,북악주유소,서울 종로구 평창문화로 137 (평창동),SK에너지,일반,2157,1917,1717,999
A0000047,서울 종로구,경복궁주유소,서울 종로구 율곡로 6,GS칼텍스,일반,2248,1988,1788,0
A0000063,서울 종로구,재동주유소,서울특별시 종로구  율곡로 58,SK에너지,일반,0,1998,1808,1200
A0000064,서울 종로구,(주)마봉 안풍주유소,서울특별시 종로구  자하문로 303 (홍지동),S-OIL,일반,0,1898,1698,1199
A0000069,서울 종로구,자하문주유소,서울 종로구 자하문로 248 (부암동),SK에너지,일반,1940,1850,1640,980
A0002211,서울 종로구,구도일특종주유소,서울특별시 종로구 평창문화로 90 (평창동),S-OIL,일반,1800,1700,1338,1130
A0009433,서울 종로구,(주)중앙에너비스혜화주유소,서울 종로구 창경궁로35길 1 (혜화동),SK에너지,일반,2289,1998,1798,1130
A0010027,서울 종로구,(주)대양씨앤씨,서울 종로구 사직로 65 (사직동),GS칼텍스,일반,2230,1988,1787,1347
A0000096,서울 중구,SC(주) 역전주유소,서울특별시 중구  퇴계로 15 (남대문로5가),GS칼텍스,일반,2379,1997,1843,1350
A0000767,서울 중구,서남주유소,서울 중구 통일로 30 (봉래동1가),SK에너지,일반,2439,2089,1900,1356
A0006093,서울 중구,화성주유소,서울특별시 중구  다산로 233 (무학동),S-OIL,일반,0,1718,1498,1100
A0009047,서울 중구,필동주유소,서울특별시 중구  퇴계로 196 (필동2가),GS칼텍스,일반,2349,1999,1819,1429
A0009058,서울 중구,초동주유소,서울시 중구 마른내로 31,GS칼텍스,일반,2397,1997,1843,1475
A0009071,서울 중구,현대오일뱅크장원주유소,서울 중구 동호로 203 (신당동),현대오일뱅크,일반,0,1728,1498,1150
A0009073,서울 중구,통일주유소,서울 중구 동호로 296 (장충동2가),SK에너지,일반,2218,1998,1808,1486
A0009076,서울 중구,세화주유소,서울특별시 중구  왕십리로 403 (신당동),SK에너지,일반,0,2034,1874,1387
A0009096,서울 중구,신당동주유소,서울 중구 다산로 242 (신당동),SK에너지,일반,2195,1895,1685,1165
A0009097,서울 중구,약수주유소,서울 중구 다산로 173 (신당동),GS칼텍스,일반,2327,1998,1789,0
