
사업자_기본정보(주유소)

기준 : 일간(20170202) 영업중인 업체
고유번호,지역,상호,상표,주소,전화번호,셀프여부
A0000064,서울 종로구,(주)마봉 안풍주유소,S-OIL,서울특별시 종로구  자하문로 303 (홍지동),02-396-5055,일반,
A0000069,서울 종로구,자하문주유소,SK에너지,서울 종로구 자하문로 248 (부암동),02-396-5252,일반,
A0010027,서울 종로구,(주)대양씨앤씨,GS칼텍스,서울 종로구 사직로 65 (사직동),02-735-4858,일반,
A0000047,서울 종로구,경복궁주유소,GS칼텍스,서울 종로구 율곡로 6,02-6016-6981,일반,
A0002211,서울 종로구,구도일특종주유소,S-OIL,서울특별시 종로구 평창문화로 90 (평창동),02-379-6524,일반,
A0000035,서울 종로구,명경주유소,현대오일뱅크,서울특별시 종로구 평창문화로 135 (평창동),02-391-5185,일반,
A0000045,서울 종로구,북악주유소,SK에너지,서울 종로구 평창문화로 137 (평창동),02-395-6500,일반,
A0009433,서울 종로구,(주)중앙에너비스혜화주유소,SK에너지,서울 종로구 창경궁로35길 1 (혜화동),070-8707-4563,일반,
A0000063,서울 종로구,재동주유소,SK에너지,서울특별시 종로구  율곡로 58,02-732-3968,일반,
A0000767,서울 중구,서남주유소,SK에너지,서울 중구 통일로 30 (봉래동1가),02-752-9475,일반,
A0000096,서울 중구,SC(주) 역전주유소,GS칼텍스,서울특별시 중구  퇴계로 15 (남대문로5가),02-752-6880,일반,
A0009076,서울 중구,세화주유소,SK에너지,서울특별시 중구  왕십리로 403 (신당동),02-2234-3451,일반,
A0006093,서울 중구,화성주유소,S-OIL,서울특별시 중구  다산로 233 (무학동),02-2252-2210,일반,
A0009096,서울 중구,신당동주유소,SK에너지,서울 중구 다산로 242 (신당동),02-2252-6688,일반,
A0009101,서울 중구,장충주유소,SK에너지,서울 중구 장충단로 202 (장충동1가),02-2279-9965,일반,
A0009071,서울 중구,현대오일뱅크장원주유소,현대오일뱅크,서울 중구 동호로 203 (신당동),02-2236-2759,일반,
A0009097,서울 중구,약수주유소,GS칼텍스,서울 중구 다산로 173 (신당동),02-2252-3345,일반,
A0009100,서울 중구,주)중앙에너비스 퇴계로지점,SK에너지,서울특별시 중구  퇴계로 228,070-8707-4562,일반,
A0009073,서울 중구,통일주유소,SK에너지,서울 중구 동호로 296 (장충동2가),02-2285-5151,일반,
A0009058,서울 중구,초동주유소,GS칼텍스,서울시 중구 마른내로 31,02-2266-6741,일반,
A0009047,서울 중구,필동주유소,GS칼텍스,서울특별시 중구  퇴계로 196 (필동2가),02-2267-8025,일반,
A0009184,서울 동대문구,능주주유소,SK에너지,서울 동대문구 청계천로 431 (신설동),02-2232-4245,일반,
A0009219,서울 동대문구,재원에너지(주)용일주유소,GS칼텍스,서울 동대문구 안암로 54 (용두동),02-3291-5151,일반,
A0009215,서울 동대문구,삼미상사(주)공유주유소,SK에너지,서울 동대문구 한천로 100 (장안동),02-2242-7115,일반,
A0009232,서울 동대문구,답십리주유소,GS칼텍스,서울 동대문구 답십리로 223,02-2213-9901,일반,
A0009247,서울 동대문구,신성주유소,현대오일뱅크,서울 동대문구 장한로 29 (장안동),02-2217-4574,일반,
A0009218,서울 동대문구,(주)파랑에너지,GS칼텍스,서울 동대문구 망우로 126 (휘경동),02-2242-5145,셀프,
A0009229,서울 동대문구,(주)열린주유소,GS칼텍스,서울 동대문구 한천로 263 (휘경동),070-4413-6542,일반,
A0009222,서울 동대문구,웰컴주유소,현대오일뱅크,서울특별시 동대문구  한천로 414 (이문동),02-969-1144,일반,
A0009248,서울 동대문구,삼영주유소,SK에너지,서울 동대문구 답십리로 258 (장안동),02-2217-2017,일반,
A0009195,서울 동대문구,SK네트웍스스피드주유소,SK에너지,서울 동대문구 천호대로 453 (장안동),02-2216-5151,일반,
A0009182,서울 동대문구,경동주유소,SK에너지,서울 동대문구 이문로 191 (이문동),02-966-4851,일반,
A0009254,서울 동대문구,삼원셀프주유소,SK에너지,서울 동대문구 망우로 90 (휘경동),02-2244-1972,셀프,
A0009233,서울 동대문구,오동나무주유소,S-OIL,서울특별시 동대문구  한천로 81 (답십리동),02-2247-5132,일반,
A0009226,서울 동대문구,동일석유(주)강남주유소,SK에너지,서울특별시 동대문구  사가정로 103 (전농동),02-3394-5183,일반,
A0009173,서울 동대문구,재정주유소,현대오일뱅크,서울 동대문구 전농로 121,070-8256-4617,일반,
A0009240,서울 동대문구,한영주유소 (한화),현대오일뱅크,서울 동대문구 망우로 38 (휘경동),02-2214-9890,일반,
A0009143,서울 동대문구,배봉로주유소,현대오일뱅크,서울 동대문구 서울시립대로 108 (전농동),02-2242-0556,일반,
A0009211,서울 동대문구,대성산업㈜청량리주유소,GS칼텍스,서울 동대문구 왕산로 289 (청량리동),02-966-9400,일반,
A0009231,서울 동대문구,재정제2주유소,현대오일뱅크,서울 동대문구 사가정로 90 (전농동),02-2249-6682,셀프,
A0009177,서울 동대문구,홍능주유소,S-OIL,서울 동대문구 홍릉로 87 (청량리동),02-966-9190,일반,
A0009172,서울 동대문구,풍한주유소,SK에너지,서울 동대문구 안암로 168 (제기동),02-924-5189,일반,
A0009210,서울 동대문구,대성산업(주)동마장주유소,GS칼텍스,서울 동대문구 고산자로 405 (용두동),02-966-5451,일반,
A0009279,서울 성동구,금호주유소,GS칼텍스,서울 성동구 금호로 39 (금호동4가),02-2297-0066,일반,
A0009285,서울 성동구,청계로주유소,SK에너지,서울 성동구 청계천로 454 (하왕십리동),02-2294-4225,일반,
A0009392,서울 성동구,(주)옥수하이웨이스테이션,GS칼텍스,서울 성동구 독서당로 168,02-2282-5151,일반,
A0009359,서울 성동구,군자동주유소,SK에너지,서울 성동구 천호대로 446 (용답동),02-2244-4945,일반,
A0009394,서울 성동구,KLP제2주유소,현대오일뱅크,서울특별시 성동구  동일로43가길 6 (송정동),02-465-5182,셀프,
A0004459,서울 성동구,명성주유소,S-OIL,서울 성동구 천호대로 384 (용답동),02-2245-0666,일반,
A0009293,서울 성동구,삼우주유소,SK에너지,서울 성동구 천호대로 392 (용답동),02-2245-8974,일반,
A0009324,서울 성동구,도루코주유소,GS칼텍스,서울 성동구 아차산로 180,02-463-6919,셀프,
A0009354,서울 성동구,SK네트웍스(주)효진주유소,SK에너지,1 서울특별시 성동구 동일로 129 (성수동2가),02-464-7252,일반,
A0010154,서울 성동구,동일주유소,현대오일뱅크,서울 성동구 광나루로 254 (성수동2가),02-461-7100,일반,
A0009361,서울 성동구,현대오일뱅크(주)직영동창주유소,현대오일뱅크,서울 성동구 천호대로 324 (용답동),02-2248-3655,일반,
A0009349,서울 성동구,현대오일뱅크성수주유소,현대오일뱅크,서울 성동구 뚝섬로 352 (성수동1가),02-467-7240,일반,
A0009260,서울 성동구,SK세원2주유소,SK에너지,서울 성동구 광나루로 184 (성수동1가),02-462-5665,일반,
A0009376,서울 성동구,현대오일뱅크(주)성동현대주유소,현대오일뱅크,서울특별시 성동구  마장로 311,02-2299-7333,일반,
A0002243,서울 성동구,kh에너지(주)성수만세주유소,SK에너지,서울특별시 성동구  왕십리로 109 (성수동1가),02-499-8223,셀프,
A0009334,서울 성동구,동부주유소,GS칼텍스,서울특별시 성동구  광나루로 146 (성수동1가),02-462-3566,일반,
A0006095,서울 성동구,아이콘주유소,S-OIL,서울특별시 성동구 고산자로 273,02-2291-5189,일반,
A0009332,서울 성동구,정호주유소,자가상표,서울 성동구 고산자로 307 (마장동),02-2297-9442,일반,
A0000086,서울 성동구,경진주유소,SK에너지,서울 성동구 고산자로 348 (마장동),02-2295-3331,일반,
A0009488,서울 성북구,길음지점,현대오일뱅크,서울특별시 성북구 삼양로 78 (길음동),02-980-1311,일반,
A0009474,서울 성북구,제삼주유소,SK에너지,서울 성북구 안암로 17 (안암동4가),02-928-8880,일반,
A0032713,서울 성북구,세창주유소,GS칼텍스,서울 성북구 동소문로 323 (길음동),02-988-2491,일반,
A0009514,서울 성북구,sk네트웍스(주)아리랑주유소,SK에너지,서울특별시 성북구  아리랑로 96 (정릉동),02-941-5189,일반,
A0009500,서울 성북구,(주)성북주유소,현대오일뱅크,서울 성북구 보문로 142 (보문동1가),02-928-4900,일반,
A0009509,서울 성북구,광덕,SK에너지,서울 성북구 보문로 89 (보문동5가),02-923-5545,셀프,
A0009466,서울 성북구,동일주유소,GS칼텍스,서울특별시 성북구  보문로 85 (보문동5가),02-923-8484,일반,
A0009510,서울 성북구,미도,SK에너지,서울 성북구 동소문로 211 (돈암동),02-928-0666,일반,
A0001257,서울 성북구,강산주유소,GS칼텍스,서울 성북구 보문로 27 (보문동7가),02-953-1448,일반,
A0026419,서울 성북구,삼선주유소,S-OIL,서울특별시 성북구  창경궁로 324 (삼선동1가),02-766-5105,일반,
A0009511,서울 성북구,sk네트웍스(주) 북악주유소,SK에너지,서울특별시 성북구  정릉로 218 (정릉동),02-911-5189,셀프,
A0009507,서울 성북구,(주)삼표에너지 정릉주유소,GS칼텍스,서울 성북구 보국문로 35 (정릉동),02-914-1221,일반,
A0009492,서울 성북구,원천제1주유소,GS칼텍스,서울 성북구 보국문로 52 (정릉동),02-914-1442,셀프,
A0009512,서울 성북구,장삼주유소,SK에너지,서울 성북구 한천로 612 (장위동),02-909-0314,셀프,
A0009490,서울 성북구,우리주유소,현대오일뱅크,서울 성북구 화랑로 292 (석관동),02-969-5185,셀프,
A0009121,서울 성북구,화랑주유소,GS칼텍스,서울 성북구 화랑로 185,02-942-5152,일반,
A0000335,서울 성북구,원천주유소,알뜰주유소,서울특별시 성북구 돌곶이로 142 (장위동),02-943-1051,일반,
A0009501,서울 성북구,구도일주유소화랑로,S-OIL,서울 성북구 화랑로 174,02-963-0051,일반,
A0009515,서울 성북구,드림랜드주유소,SK에너지,서울특별시 성북구  월계로 128 (장위동) 드림랜드주유소,02-916-9906,일반,
A0009463,서울 성북구,신방주유소,S-OIL,서울특별시 성북구 안암로 111 (안암동5가),02-922-5151,일반,
A0009520,서울 성북구,종암주유소,SK에너지,서울 성북구 종암로 145 (종암동),02-923-9908,일반,
A0009480,서울 성북구,효성주유소,GS칼텍스,서울 성북구 오패산로1가길 29,02-942-5150,일반,
A0009502,서울 성북구,중앙에너비스 종암지점,SK에너지,서울 성북구 종암로 58 (종암동),02-912-6531,셀프,
A0009434,서울 성북구,고려주유소,GS칼텍스,서울 성북구 종암로 17 (종암동),02-923-5277,일반,
A0009508,서울 성북구, 현대오일뱅크㈜ 직영 고대셀프주유소,현대오일뱅크,서울 성북구 종암로 12 (종암동),02-912-5151,셀프,
A0009496,서울 성북구,(주)신동방석유,S-OIL,서울 성북구 월계로 84 (장위동),02-918-5151,일반,
A0009677,서울 도봉구, 현대오일뱅크㈜ 직영 쌍문셀프주유소,현대오일뱅크,서울 도봉구 노해로 161,02-998-9704,셀프,
A0002976,서울 도봉구,우이동주유소,S-OIL,서울 도봉구 삼양로 630 (쌍문동),02-992-8890,일반,
A0009682,서울 도봉구,도담주유소,SK에너지,서울특별시 도봉구  도봉로 941 (도봉동),02-3491-5577,일반,
A0009600,서울 도봉구,도봉주유소,GS칼텍스,서울 도봉구 도봉로 895 (도봉동),02-954-0118,셀프,
A0009575,서울 도봉구,오복주유소,S-OIL,서울 도봉구 방학로 43 (방학동),02-3494-1500,일반,
A0010135,서울 도봉구,쌍용에너텍(주)대안,S-OIL,서울 도봉구 마들로 574 (창동),02-996-6640,셀프,
A0009647,서울 도봉구,(주)소모에너지엔테크놀러지 신중계주유소,GS칼텍스,서울 도봉구 방학로 21 (방학동),02-3492-4732,일반,
A0009845,서울 도봉구,해와달주유소,현대오일뱅크,서울 도봉구 마들로 776 (도봉동),02-956-1600,일반,
A0000074,서울 도봉구,제일주유소,S-OIL,서울 도봉구 해등로3길 86 (창동),02-996-8790,일반,
A0010144,서울 도봉구,대성산업(주)신창주유소,GS칼텍스,서울 도봉구 덕릉로 267 (창동),02-905-4441,일반,
A0009629,서울 도봉구,한이에너지(주)KLP제1주유소,현대오일뱅크,서울특별시 도봉구  도봉로 596 (창동),02-902-5189,일반,
A0009537,서울 도봉구,정다운셀프주유소,SK에너지, 서울특별시 도봉구 도봉로 635,02-996-5151,셀프,
A0009680,서울 도봉구,(주)디케이비엠시구도일주유소도봉,S-OIL,서울특별시 도봉구  도봉로 706 (방학동),02-3491-3454,셀프,
A0009668,서울 도봉구,도봉제일주유소(주)송만에너지,현대오일뱅크,서울특별시 도봉구  도봉로 783 (도봉동),02-955-5185,일반,
A0009599,서울 도봉구,방학동주유소,GS칼텍스,서울특별시 도봉구  방학로 186 (방학동),02-3493-5189,셀프,
A0009642,서울 도봉구,삼미상사(주)북부주유소,SK에너지,서울 도봉구 도봉로 437 (쌍문동),02-991-5561,셀프,
A0010146,서울 도봉구,동일석유(주) 창동주유소,SK에너지,서울특별시 도봉구  도봉로 434 (창동),02-902-5544,일반,
A0009669,서울 도봉구,sk네트웍스 영신주유소,SK에너지,서울특별시 도봉구  방학로 151 (방학동 671-2),02-956-5152,일반,
A0009676,서울 도봉구,서현주유소,S-OIL,서울 특별시 도봉구 방학로 142,02-954-5400,셀프,
A0032674,서울 도봉구,쌍문주유소,S-OIL,서울 도봉구 도봉로 547 (쌍문동),02-992-0220,셀프,
A0000623,서울 서대문구,(주)가재울뉴타운주유소,현대오일뱅크,서울특별시 서대문구 모래내로 205(남가좌동),070-8879-7864,셀프,
A0000688,서울 서대문구,홍은주유소,자가상표,서울특별시 서대문구 가좌로 146 (홍은동),02-302-5110,일반,
A0000134,서울 서대문구,두꺼비주유소,S-OIL,서울 서대문구 성산로 312 (연희동),02-336-0611,셀프,
A0000737,서울 서대문구,남정주유소,GS칼텍스,서울 서대문구 모래내로 243 (남가좌동),02-305-9828,일반,
A0000178,서울 서대문구,(주)마봉 신우주유소,S-OIL,서울특별시 서대문구  가좌로 106 (홍은동),02-304-5522,셀프,
A0000747,서울 서대문구,중앙에너비스 동교지점,SK에너지,서울 서대문구 연희로 12 (창천동),070-8707-4568,셀프,
A0000744,서울 서대문구,삼보셀프주유소,SK에너지,서울 서대문구 연희로 78 (연희동),02-336-6151,셀프,
A0000746,서울 서대문구,삼미상사(주)서부주유소,SK에너지,서울 서대문구 성산로 255 (연희동),02-334-4919,셀프,
A0000674,서울 서대문구,평화주유소,SK에너지,서울 서대문구 응암로 101 (북가좌동),02-306-3442,일반,
A0000591,서울 서대문구,연희주유소,SK에너지,서울특별시 서대문구  연희로 129 (연희동 89-7번지),02-338-8045,일반,
A0000716,서울 서대문구,코리아상사연세주유소,GS칼텍스,서울특별시 서대문구  연희로27가길 1 (연희동),02-337-8220,일반,
A0000568,서울 서대문구,광호주유소,SK에너지,서울특별시 서대문구  연희로 266 (홍은동),02-395-7236,일반,
A0000693,서울 서대문구,(주)창원현대주유소,현대오일뱅크,서울특별시 서대문구 통일로 537,02-3216-0829,일반,
A0000627,서울 서대문구,행촌제2주유소,SK에너지,서울 서대문구 성산로 490,02-365-5189,일반,
A0000585,서울 서대문구,경인주유소,GS칼텍스,서울 서대문구 통일로 455 (홍제동),02-379-0753,일반,
A0000632,서울 서대문구,문화촌주유소,S-OIL,서울 서대문구 세검정로 87 (홍제동),02-395-4300,일반,
A0000669,서울 서대문구,KH에너지(주)직영 독립문주유소,SK에너지,서울 서대문구 통일로 384 (홍제동),02-735-0333,일반,
A0001193,서울 서대문구,홍제동주유소,GS칼텍스,서울 서대문구 통일로 372 (홍제동),02-736-3708,셀프,
A0000679,서울 은평구,(주)삼표에너지수색주유소,GS칼텍스,서울 은평구 수색로 198 (증산동),02-372-2358,셀프,
A0000571,서울 은평구,타이거주유소,SK에너지,서울 은평구 수색로 188 (증산동),02-309-9145,일반,
A0000605,서울 은평구,삼융주유소,SK에너지,서울 은평구 수색로 299 (수색동),02-307-3314,일반,
A0000707,서울 은평구,(주)명연에너지 수색훼미리주유소,현대오일뱅크,서울 은평구 수색로 236 (수색동),02-374-8770,셀프,
A0000690,서울 은평구,신광주유소,SK에너지,서울 은평구 수색로 350 (수색동),02-309-5051,일반,
A0000704,서울 은평구,코끼리주유소,자가상표,서울 은평구 서오릉로 41 (녹번동),02-384-4000,일반,
A0000725,서울 은평구,불광주유소,현대오일뱅크,서울 은평구 연서로 314 (불광동),02-382-5149,일반,
A0000696,서울 은평구,갈현주유소,현대오일뱅크,서울 은평구 갈현로 197 (갈현동),02-389-9005,일반,
A0000629,서울 은평구,신사제일주유소,GS칼텍스,서울특별시 은평구  증산로 423 (신사동),02-308-4333,일반,
A0000619,서울 은평구,다회주유소,S-OIL,서울 은평구 증산로 441,02-375-5156,셀프,
A0005900,서울 은평구,무궁화주유소,SK에너지,서울 은평구 응암로 163 (응암동),02-304-5188,일반,
A0000630,서울 은평구,서부주유소,GS칼텍스,서울특별시 은평구 응암로 210,02-302-6041,셀프,
A0000745,서울 은평구,박석고개주유소,SK에너지,서울 은평구 통일로 945 (갈현동),02-388-0477,셀프,
A0000680,서울 은평구,성원이앤에스(주)은평지점,GS칼텍스,서울특별시 은평구 통일로 968 (진관동),02-352-4451,일반,
A0000687,서울 은평구,은평뉴타운주유소,SK에너지,서울 은평구 통일로 924 (불광동),02-355-0349,셀프,
A0000606,서울 은평구,한빛주유소,S-OIL,서울특별시 은평구  서오릉로 102 (대조동),02-386-8989,일반,
A0000664,서울 은평구,(주)에스지주유소,현대오일뱅크,서울 은평구 증산로 371 (신사동),02-304-5182,일반,
